ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,1650107,G25839104,NASDAQ,False,ADR Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,United Kingdom,699c2b13cec7a64dc4a5934a1f67b5e7
CELH,CELSIUS HOLDINGS INC,1341766,15118V207 15118V108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Florida; U.S.A,274484d2738342ad80a9ee022387ddd5
COKE,COCA-COLA CONSOLIDATED INC,317540,191098102,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,North Carolina; U.S.A,59ea0d29bfaebedbc1cea7d5e2779a54
FIZZ,NATIONAL BEVERAGE CORP,69891,635017106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Florida; U.S.A,63e1970f886386177a5d47db896ea9cb
MNST,MONSTER BEVERAGE CORP,865752,61174X109 611740101 411310105,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,California; U.S.A,571b72d95dbfff244c9bca44e1093770
AKO.B,ANDINA BOTTLING CO INC,925261,29081P303 29081P105,NYSE,False,ADR Common Stock Primary Class,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Chile,a9a4f894a81f1f089b5a06d84ce2f3a8
FMX,MEXICAN ECONOMIC DEVELOPMENT INC,1061736,344419106,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Mexico,0006d0c4e892cc4402314b47536e6532
KOF,COCA COLA FEMSA SAB DE CV,910631,191241108,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Mexico,bfa9c975bcd082464944bd82c4b6ca3c
PRMW,PRIMO WATER CORP,884713,74167P108 22163N106 221636103,NYSE,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Florida; U.S.A,f43543234643819b0dccf723ea86986c
ZVIA,ZEVIA PBC,1854139,98955K104,NYSE,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,California; U.S.A,2275125baba5100ba257a076f1fa5b13
AKO.A,ANDINA BOTTLING CO INC,925261,29081P204,NYSE,False,ADR Common Stock Secondary Class,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,USD,Chile,7d0c50f932ed5afb429f9d222964622d
