ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ABTS,ABITS GROUP INC,1864055,G6S34K105 624697306 624697207,NASDAQ,False,ADR Common Stock,Communication Services,Advertising Agencies,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,New York; U.S.A,9842f25626aff1f08d6c080fa08a0295
ACIW,ACI WORLDWIDE INC,935036,004498101 893416107,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Florida; U.S.A,5aaaaba434d866e60d3208d0fdc3165b
ADBE,ADOBE INC,796343,00724F101,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,08774beedc7bd5d41d83d0757ec98e5a
ADSK,AUTODESK INC,769397,052769106,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,9849fa4395626e8fbd96e57c77509403
ADTH,ADTHEORENT HOLDING COMPANY INC,1838672,00739D109 55282T109,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Advertising Agencies,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,New York; U.S.A,a8b5ae5992f00d0dc8c011f891152013
AEYE,AUDIOEYE INC,1362190,050734201 050734102,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Arizona; U.S.A,77da6f82c8e9c06e01ff1c9a33ac9177
AGMH,AGM GROUP HOLDINGS INC,1705402,G0132V105,NASDAQ,False,ADR Common Stock,Technology,Computer Hardware,7371,Services,Services-Computer Programming Services,,Business Services,USD,Hong Kong,3cd93b58b2922e36d156c6457be0a4a5
AGYS,AGILYSYS INC,78749,00847J105 723877106,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Georgia; U.S.A.,b25ff3fab96c530968750b54254fd5ff
AHI,ADVANCED HEALTH INTELLIGENCE LTD,1815436,00777C104 00777C203,NASDAQ,False,ADR Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Australia,7a08af4b926e8f23a80df9db2ea8bac4
AILE,ILEARNINGENGINES INC,1835972,04282M102 45175Q106,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Maryland; U.S.A,a996949fa8119aab87b2679118d10a4e
AISP,AIRSHIP AI HOLDINGS INC,1842566,G1R25Q105 008940108,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Washington; U.S.A,aadb5d4f998f0851a2714a7b71e2efd9
AIXI,XIAO-I CORP,1935172,98423X100,NASDAQ,False,ADR Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,China,6f1e4bbf49f0db3e6668b79e01fc2eca
ALAR,ALARUM TECHNOLOGIES LTD,1725332,78643B401 78643B500 78643B302 78643B104,NASDAQ,False,ADR Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Israel,067ae1a0f826ce87394aa8f7a30e4186
ALKT,ALKAMI TECHNOLOGY INC,1529274,01644J108,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Texas; U.S.A,bbb736500acb180d80c32022369bc215
ALRM,ALARMCOM HOLDINGS INC,1459200,011642105,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Virginia; U.S.A,4a75531d7ce6b54e2a0c6015ccd53e45
ALTR,ALTAIR ENGINEERING INC,1701732,021369103,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Michigan; U.S.A,5663e2c8a4a00aadd85a01b48697667e
AMPL,AMPLITUDE INC,1866692,03213A104,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,61bc731d4dc0b70414ca24755f6bd6c1
AMST,AMESITE INC,1807166,031094105 031094204,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Michigan; U.S.A,c1ac6baf1e07cf626c67ee77a287d177
AMSWA,AMERICAN SOFTWARE INC,713425,029683109,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Georgia; U.S.A,42f455379c8ad25157a14619dde58683
ANSS,ANSYS INC,1013462,03662Q105,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Pennsylvania; U.S.A,c74bf05ccc4e629d5bfb7769c0efeeb0
APCX,APPTECH PAYMENTS CORP,1070050,03834B309 126369107 42218E109,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,fa240a65f68b33bc374c27d96c756d69
API,AGORA INC,1802883,00851L103,NASDAQ,False,ADR Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,China,9e8f2b822854470281d4410032cbc57c
APP,APPLOVIN CORP,1751008,03831W108,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,California; U.S.A,8407a55abf13313241a9808d375a4fda
APPF,APPFOLIO INC,1433195,03783C100,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,7d30c849967b19d7fee01bc03464f10f
APPN,APPIAN CORP,1441683,03782L101,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Virginia; U.S.A,4f53c7cdd3e43c6f40de2867aefc6e4e
ARBB,ARB IOT GROUP LTD,1930179,G0447T100,NASDAQ,False,ADR Common Stock,Technology,Information Technology Services,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Singapore,29c8535f25c3612b0ef1dba0daa22c1c
ARBE,ARBE ROBOTICS LTD,1861841,M1R95N100 456357102,NASDAQ,False,ADR Common Stock Primary Class,Technology,Software - Infrastructure,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Israel,04361b8962f884ae2e9b8a93517b5ac6
ARQQ,ARQIT QUANTUM INC,1859690,G0567U101 G2072Q104,NASDAQ,False,ADR Common Stock Primary Class,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,United Kingdom,f1994e4083045cc01e4335e44b2b7408
ASST,ASSET ENTITIES INC,1920406,04541A105,NASDAQ,False,Domestic Common Stock,Communication Services,Internet Content & Information,7372,Services,Services-Prepackaged Software,,Business Services,USD,Texas; U.S.A,6cc2197cf88a7382a7723312443f4f1b
ASUR,ASURE SOFTWARE INC,884144,04649U102 34629U103 918333105,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Texas; U.S.A,3a5ea45f4f4fde35c4bdffee8be7988e
ATGL,ALPHA TECHNOLOGY GROUP LTD,1967621,G0232G107,NASDAQ,False,ADR Common Stock,Technology,Software - Infrastructure,7371,Services,Services-Computer Programming Services,,Business Services,USD,Hong Kong,67c37adfa8ad2cb0fde02f595a2e3d32
AUID,AUTHID INC,1534154,46264C206 46264C305 45112X107 46264C107,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Colorado; U.S.A,47953cbeb521bfc5bed4d79ef71a13a2
AUR,AURORA INNOVATION INC,1828108,051774107 G7484L106,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Information Technology Services,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Pennsylvania; U.S.A,03665483a2bc27b88512cb1f2c68649e
