ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ACNT,ASCENT INDUSTRIES CO,95953,871565107,NASDAQ,False,Domestic Common Stock,Basic Materials,Steel,3317,Manufacturing,Steel Pipe & Tubes,,Steel Works Etc,USD,Virginia; U.S.A,5e60ea590d6571f96cf9ff955674691b
APWC,ASIA PACIFIC WIRE & CABLE CORP LTD,1026980,G0535E106,NASDAQ,False,ADR Common Stock,Industrials,Electrical Equipment & Parts,3357,Manufacturing,Drawing & Insulating Of Nonferrous Wire,,Steel Works Etc,USD,Taiwan,6cfbe22729a7598c87f3602246fea06b
AQMS,AQUA METALS INC,1621832,03837J101,NASDAQ,False,Domestic Common Stock,Industrials,Waste Management,3341,Manufacturing,Secondary Smelting & Refining Of Nonferrous Metals,,Steel Works Etc,USD,Nevada; U.S.A,04483dd51c5d15c4e5b36e582408eaac
ASTL,ALGOMA STEEL GROUP INC,1860805,015658107 52473X106,NASDAQ,False,ADR Common Stock Primary Class,Basic Materials,Steel,3312,Manufacturing,Steel Works Blast Furnaces & Rolling Mills (Coke Ovens),,Steel Works Etc,USD,Ontario; Canada,d4e28f1d7371292e6e829f02d48c822a
BOOM,DMC GLOBAL INC,34067,23291C103 267888105,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3390,Manufacturing,Miscellaneous Primary Metal Products,,Steel Works Etc,USD,Colorado; U.S.A,7c4f41f74a56d12bcdb5164d317686cf
BWEN,BROADWIND INC,1120370,11161T207 11161T108 891861106,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3360,Manufacturing,Nonferrous Foundries (Castings),,Steel Works Etc,USD,Illinois; U.S.A,20161a2102ce07e91456064ee3a17ad3
CENX,CENTURY ALUMINUM CO,949157,156431108,NASDAQ,False,Domestic Common Stock,Basic Materials,Aluminum,3334,Manufacturing,Primary Production Of Aluminum,,Steel Works Etc,USD,Illinois; U.S.A,19655a79ca4d1d472411b47df5c2314a
GSM,FERROGLOBE PLC,1639877,G33856108,NASDAQ,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,3330,Manufacturing,Primary Smelting & Refining Of Nonferrous Metals,,Steel Works Etc,USD,United Kingdom,0372cdb159eb67f3e8fb55bd01344fd9
HAYN,HAYNES INTERNATIONAL INC,858655,420877201,NASDAQ,False,Domestic Common Stock,Industrials,Metal Fabrication,3310,Manufacturing,Steel Works Blast Furnaces & Rolling & Finishing Mills,,Steel Works Etc,USD,Indiana; U.S.A,25ac2e77069dd0f5cff5d1dc88270773
HUDI,HUADI INTERNATIONAL GROUP CO LTD,1791725,G4645E105,NASDAQ,False,ADR Common Stock,Basic Materials,Steel,3317,Manufacturing,Steel Pipe & Tubes,,Steel Works Etc,USD,China,60323353be1e1921d892b59f4d0313a7
INHD,INNO HOLDINGS INC,1961847,4576JP109,NASDAQ,False,Domestic Common Stock,Basic Materials,Steel,3317,Manufacturing,Steel Pipe & Tubes,,Steel Works Etc,USD,Texas; U.S.A,3fb064b3d4466bc5257222e68aa46055
KALU,KAISER ALUMINUM CORP,811596,483007704 483007407,NASDAQ,False,Domestic Common Stock,Basic Materials,Aluminum,3350,Manufacturing,Rolling Drawing & Extruding Of Nonferrous Metals,,Steel Works Etc,USD,California; U.S.A,cf4d4eacbe504add1b0a0c3218faa9ee
