ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ADEA,ADEIA INC,1803696,98421B100 88164L100 98390M103 00676P107 88166T101,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,California; U.S.A,0bcddf81756ef1ef86558dbeb7301f22
AMCX,AMC NETWORKS INC,1514991,00164V103,NASDAQ,False,Domestic Common Stock,Communication Services,Entertainment,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,New York; U.S.A,ed0a7ede12e4284f29fd7e76bb656faa
ANGH,ANGHAMI INC,1871983,92840T107 G0369L101,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,United Arab Emirates,b8abf631a965cadee2459a6a6fba933a
ASTS,AST SPACEMOBILE INC,1780312,00217D100 64822P106,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Communication Equipment,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,Texas; U.S.A,6884903c7d279809883539c4fec7240d
ATEX,ANTERIX INC,1304492,03676C100 69290R104 694171307,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,New Jersey; U.S.A,e1b43f81bdb5fb62c5b6f599fe310966
ATNI,ATN INTERNATIONAL INC,879585,00215F107 049079205 049079106,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Massachusetts; U.S.A,701fa76ec425bdfa030f29956b9ff75d
AYRO,AYRO INC,1086745,054748108 054748207 92931L302 92931L401 26210U203 26210U104 92931L203 92931L104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Manufacturers,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,Texas; U.S.A,0fc4c20115bb632f9699cabc020477c0
BBGI,BEASLEY BROADCAST GROUP INC,1099160,074014101,NASDAQ,False,Domestic Common Stock,Communication Services,Broadcasting,4832,Transportation Communications Electric Gas And Sanitary Service,Radio Broadcasting Stations,,Communication,USD,Florida; U.S.A,c9937b8e3c312ddb7e844e30836024d0
BZFD,BUZZFEED INC,1828972,12430A102 28250A105 12430A300,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Internet Content & Information,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,New York; U.S.A,ea8baa1d515c814863985c6ae0e9b797
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,1158324,19239V302 19239V104,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,District Of Columbia; U.S.A,b4868e0bc4c9d2a128ba4eb0feb84a8f
CHTR,CHARTER COMMUNICATIONS INC,1091667,16119P108 16117M305,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,Connecticut; U.S.A,8b74609a75a419068fd10055805ed065
CMCSA,COMCAST CORP,1166691,20030N101 200300101 200300200,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Telecom Services,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,Pennsylvania; U.S.A,cbc63ad11fe21721d0f1596b9f6a105f
CMLS,CUMULUS MEDIA INC,1058623,231082801,NASDAQ,False,Domestic Common Stock,Communication Services,Broadcasting,4832,Transportation Communications Electric Gas And Sanitary Service,Radio Broadcasting Stations,,Communication,USD,Georgia; U.S.A,d41a0211d52e2d0ab14e433b7bc61fd1
CNSL,CONSOLIDATED COMMUNICATIONS HOLDINGS INC,1304421,209034107,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Illinois; U.S.A,627512e6a28481377480718f90633d23
CXDO,CREXENDO INC,1075736,226552107 45247Q100 641111109,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Arizona; U.S.A,c6c7b6f00beb85152072f92a6aad7636
DATS,DATCHAT INC,1648960,23816M107 23816M206,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Software - Application,4822,Transportation Communications Electric Gas And Sanitary Service,Telegraph & Other Message Communications,,Communication,USD,New Jersey; U.S.A,658c16fa46183a5d1f7e6eab29fabf63
FOXA,FOX CORP,1754301,35137L105,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,4833,Transportation Communications Electric Gas And Sanitary Service,Television Broadcasting Stations,,Communication,USD,New York; U.S.A,6ceea81aed389715bb8a7ab323538041
FWONA,LIBERTY MEDIA CORP,1560385,531229870 531229102 531229771,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,4833,Transportation Communications Electric Gas And Sanitary Service,Television Broadcasting Stations,,Communication,USD,Colorado; U.S.A,b297565756a7584b76981f2d0f489734
FYBR,FRONTIER COMMUNICATIONS PARENT INC,20520,35909D109,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Connecticut; U.S.A,57e529b361f19bea37244d641cc489e2
GOGO,GOGO INC,1537054,38046C109,NASDAQ,False,Domestic Common Stock,Communication Services,Telecom Services,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,Illinois; U.S.A,e01ceb7990d4d375b24239bcaaf2122b
