ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
BHAT,BLUE HAT INTERACTIVE ENTERTAINMENT TECHNOLOGY,1759136,G1329V106 G1329V205,NASDAQ,False,ADR Common Stock,Communication Services,Electronic Gaming & Multimedia,3944,Manufacturing,Games Toys & Children'S Vehicles (No Dolls & Bicycles),,Recreation,USD,China,193af02e4fc78f3757d1bcdf372a3414
CLAR,CLARUS CORP,913277,18270P109 09202G101 182707109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,Utah; U.S.A,c60d1b783bd6a4843ef909a0c4062408
ESCA,ESCALADE INC,33488,296056104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,Indiana; U.S.A,394340a9bd10ce40390c3e85668f8db7
FNKO,FUNKO INC,1704711,361008105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3944,Manufacturing,Games Toys & Children'S Vehicles (No Dolls & Bicycles),,Recreation,USD,Washington; U.S.A,d524d979be9c63f0b901f8e282a88b8b
FTEL,FITELL CORP,1928581,G35150104,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Specialty Retail,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,Australia,cba782a760af735fcfbfb87d5072ff95
GNSS,GENASYS INC,924383,36872P103 50213V109 030145205,NASDAQ,False,Domestic Common Stock,Technology,Scientific & Technical Instruments,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,USD,California; U.S.A,f815eb2c8a951adb7640c5a069b21138
HAS,HASBRO INC,46080,418056107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3944,Manufacturing,Games Toys & Children'S Vehicles (No Dolls & Bicycles),,Recreation,USD,Rhode Island; U.S.A,45d3d1149da80b28dce4e412e783fe20
IMTE,INTEGRATED MEDIA TECHNOLOGY LTD,1668438,Q49376108 Q49376124,NASDAQ,False,ADR Common Stock,Technology,Electronic Components,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,USD,Australia,e06760a16a8838ff6b0f76b769dc62d7
JAKK,JAKKS PACIFIC INC,1009829,47012E106 47012E403,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3944,Manufacturing,Games Toys & Children'S Vehicles (No Dolls & Bicycles),,Recreation,USD,California; U.S.A,839d7414f017a6013351f6757beff626
JOUT,JOHNSON OUTDOORS INC,788329,479167108 479254104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,Wisconsin; U.S.A,d93ec65c42a02d11727f069691e47ab3
KOSS,KOSS CORP,56701,500692108,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,USD,Wisconsin; U.S.A,9f7ffa956cae897c4a862b2bc145c34a
MAT,MATTEL INC,63276,577081102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3942,Manufacturing,Dolls & Stuffed Toys,,Recreation,USD,California; U.S.A,b1d5aee8c08e13fdf9d39b75df56874a
MICS,SINGING MACHINE CO INC,923601,829322403 829322304,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3652,Manufacturing,Phonograph Records & Prerecorded Audio Tapes & Disks,,Recreation,USD,Florida; U.S.A,bb1f8aec03a8f5df30e0f04a5630f395
PTON,PELOTON INTERACTIVE INC,1639825,70614W100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,New York; U.S.A,dbf3c41ad7056737b2b8ab44c7bd4117
SONO,SONOS INC,1314727,83570H108,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,USD,California; U.S.A,f02e3003e2c5b1373e850f1022b558ff
SPGC,SACKS PARENTE GOLF INC,1934245,78577G103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,California; U.S.A,b1ef13b28c053db18142e20ff202e26d
SRM,SRM ENTERTAINMENT INC,1956744,85237B101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,3944,Manufacturing,Games Toys & Children'S Vehicles (No Dolls & Bicycles),,Recreation,USD,Florida; U.S.A,8377d6a7d1faba56c150d43547148cce
TRUG,TRUGOLF HOLDINGS INC,1857086,243733102 243733201,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Electronic Gaming & Multimedia,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,USD,Florida; U.S.A,14b887f69ddabe98274b57e43f97796a
