ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AEP,AMERICAN ELECTRIC POWER CO INC,4904,025537101,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Ohio; U.S.A,87a9ea24138e658cee1b350f7256a373
ALCE,ALTERNUS CLEAN ENERGY INC,1883984,184493104 02157G101,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Renewable,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Texas; U.S.A,929af51c8fe96f2e158b9d0637b0714e
ARTNA,ARTESIAN RESOURCES CORP,863110,043113208,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,Delaware; U.S.A,9a5eb95b896490ce124251758b4723a0
AY,ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC,1601072,G0751N103 G00349103,NASDAQ,False,ADR Common Stock,Utilities,Utilities - Renewable,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,United Kingdom,38db3a9730e3562025b3404d007461f7
CDZI,CADIZ INC,727273,127537207 127537108 127549103,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,California; U.S.A,70a4942f37b910bb39f41079e3bc0770
CEG,CONSTELLATION ENERGY CORP,1868275,21037T109,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Renewable,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Maryland; U.S.A,89f8360687b6343df99114b6cb84256c
CLNE,CLEAN ENERGY FUELS CORP,1368265,184499101,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Refining & Marketing,4932,Transportation Communications Electric Gas And Sanitary Service,Gas & Other Services Combined,,Utilities,USD,California; U.S.A,23b6eee7174014c52017707e44d4c870
CWCO,CONSOLIDATED WATER CO LTD,928340,G23773107 G1981E103,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,Cayman Islands,237606e2e30d5d4553811dcc09a32281
ENLT,ENLIGHT RENEWABLE ENERGY LTD,1922641,M4056D110,NASDAQ,False,ADR Common Stock,Utilities,Utilities - Renewable,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Israel,23e9973a87dd95cfb4d54af892adf73b
EVRG,EVERGY INC,1711269,30034W106,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Missouri; U.S.A,528b4053b97a2563f8c2f234207d0148
EXC,EXELON CORP,1109357,30161N101 693304107,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Electric,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Illinois; U.S.A,3c0a8b817836763b6faa02c4b219e7f8
GWRS,GLOBAL WATER RESOURCES INC,1434728,379463102,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,Arizona; U.S.A,fc00aabb3522c1870c37c9c2be3e2661
LNT,ALLIANT ENERGY CORP,352541,018802108 929305100 460845100,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Wisconsin; U.S.A,06b91da77037a6cf9a2bd87a6fb106b0
MGEE,MGE ENERGY INC,1161728,55277P104 557497104,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4900,Transportation Communications Electric Gas And Sanitary Service,Electric Gas & Sanitary Services,,Utilities,USD,Wisconsin; U.S.A,9f495e6c9cd54bb982d87f07895a0182
MNTK,MONTAUK RENEWABLES INC,1826600,61218C103,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Diversified,4932,Transportation Communications Electric Gas And Sanitary Service,Gas & Other Services Combined,,Utilities,USD,Pennsylvania; U.S.A,0a87138ba6397bc9d8b02365e8c870ea
MSEX,MIDDLESEX WATER CO,66004,596680108,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,New Jersey; U.S.A,2c2ba91e770e81a058938aa1e92ba749
NEXT,NEXTDECADE CORP,1612720,65342K105 413247107 413247206,NASDAQ,False,Domestic Common Stock Primary Class,Energy,Oil & Gas E&P,4923,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmisison & Distribution,,Utilities,USD,Texas; U.S.A,8d19ddeb2e38137c95c0e69183c2d2d0
NFE,NEW FORTRESS ENERGY INC,1749723,644393100,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Gas,4924,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Distribution,,Utilities,USD,New York; U.S.A,790369cebf7f417110ba6eec8cdebade
NNE,NANO NUCLEAR ENERGY INC,1923891,63010H108,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,New York; U.S.A,620fe44e87094a141bb8db0983a9b155
NWE,NORTHWESTERN ENERGY GROUP INC,1993004,668074305,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Diversified,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,South Dakota; U.S.A,0c0f05b9bc5ced36f2ed69df920e0f59
OPAL,OPAL FUELS INC,1842279,G0R21B104 68347P103,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Gas,4932,Transportation Communications Electric Gas And Sanitary Service,Gas & Other Services Combined,,Utilities,USD,Massachusetts; U.S.A,9b7b072f993f94acf768e9d8f655a3e3
OTTR,OTTER TAIL CORP,1466593,689648103,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Diversified,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Minnesota; U.S.A,7141f79e41315e917df7e19f950a3536
PCYO,PURE CYCLE CORP,276720,746228303 746228105,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,Colorado; U.S.A,b12e657a84d709b97ed1a341092e08b4
RGCO,RGC RESOURCES INC,1069533,74955L103 769858101,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Regulated Gas,4923,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmisison & Distribution,,Utilities,USD,Virginia; U.S.A,2921d9da76f21b49da848c06edbf6be0
