ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,1823584,00653H102 01861F102,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,5099,Wholesale Trade,Wholesale-Durable Goods Nec,,Wholesale,USD,Florida; U.S.A,a386581ee56f2d0e2059ea13572e471f
AMRK,A-MARK PRECIOUS METALS INC,1591588,00181T107,NASDAQ,False,Domestic Common Stock,Financial Services,Capital Markets,5094,Wholesale Trade,Wholesale-Jewelry Watches Precious Stones & Metals,,Wholesale,USD,California; U.S.A,87819e07ca63591daed0026f1d1eb414
ANDE,ANDERSONS INC,821026,034164103,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Food Distribution,5150,Wholesale Trade,Wholesale-Farm Product Raw Materials,,Wholesale,USD,Ohio; U.S.A,626b41e4d3840bb4bf6975f2b27376d8
ASLE,AERSALE CORP,1754170,00810F106 609754106 609754205,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Airports & Air Services,5080,Wholesale Trade,Wholesale-Machinery Equipment & Supplies,,Wholesale,USD,Florida; U.S.A,c080d01eb590f22a9e53d0669a1aa8dd
AVT,AVNET INC,8858,053807103,NASDAQ,False,Domestic Common Stock,Technology,Electronics & Computer Distribution,5065,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,,Wholesale,USD,Arizona; U.S.A,b17d44c76110a6960cd6b8ecff51c253
BANL,CBL INTERNATIONAL LTD,1914805,G1991X109,NASDAQ,False,ADR Common Stock,Energy,Oil & Gas Midstream,5172,Wholesale Trade,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),,Wholesale,USD,Hong Kong,bbcd3d1c493bbc7469b1274b88822777
BECN,BEACON ROOFING SUPPLY INC,1124941,073685109,NASDAQ,False,Domestic Common Stock,Industrials,Industrial Distribution,5030,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,,Wholesale,USD,Virginia; U.S.A,35d390637cd400f0ac7442bceae8dcd5
CENT,CENTRAL GARDEN & PET CO,887733,153527106,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,5190,Wholesale Trade,Wholesale-Miscellaneous Nondurable Goods,,Wholesale,USD,California; U.S.A,a3e63da44adf220482612d30bf2a4515
CHEF,CHEFS' WAREHOUSE INC,1517175,163086101,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Food Distribution,5141,Wholesale Trade,Wholesale-Groceries General Line,,Wholesale,USD,Connecticut; U.S.A,61da217e5d816f0a54f31682e9cb316b
CLMB,CLIMB GLOBAL SOLUTIONS INC,945983,946760105 743205106,NASDAQ,False,Domestic Common Stock,Technology,Electronics & Computer Distribution,5045,Wholesale Trade,Wholesale-Computers & Peripheral Equipment & Software,,Wholesale,USD,New Jersey; U.S.A,d00180adf96b6cd790385ed9921144a7
CLWT,EURO TECH HOLDINGS CO LTD,1026662,G32030127 G32030101,NASDAQ,False,ADR Common Stock,Industrials,Pollution & Treatment Controls,5040,Wholesale Trade,Wholesale-Professional & Commercial Equipment & Supplies,,Wholesale,USD,Hong Kong,5e3e417c74a319989aead319d269a0a0
COSM,COSMOS HEALTH INC,1474167,221413305 221413206,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Distribution,5122,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,,Wholesale,USD,Greece,bf65da51b61889d9bc6050944369e43c
CTNT,CHEETAH NET SUPPLY CHAIN SERVICE INC,1951667,16307X103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,5010,Wholesale Trade,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies,,Wholesale,USD,North Carolina; U.S.A,f2e9e95ba43c1ca4d816eecfd5888ae7
DSGR,DISTRIBUTION SOLUTIONS GROUP INC,703604,520776105,NASDAQ,False,Domestic Common Stock,Industrials,Industrial Distribution,5080,Wholesale Trade,Wholesale-Machinery Equipment & Supplies,,Wholesale,USD,Illinois; U.S.A,1fe5cf2ad8c57b79554821543a880084
DTCK,DAVIS COMMODITIES LTD,1949478,G2677P105,NASDAQ,False,ADR Common Stock,Consumer Defensive,Farm Products,5150,Wholesale Trade,Wholesale-Farm Product Raw Materials,,Wholesale,USD,Singapore,1a06a8cfacaca83b68dcd432b1110365
DXPE,DXP ENTERPRISES INC,1020710,233377407 233377100,NASDAQ,False,Domestic Common Stock,Industrials,Industrial Distribution,5084,Wholesale Trade,Wholesale-Industrial Machinery & Equipment,,Wholesale,USD,Texas; U.S.A,47976655aa476ae83f7608a0aa1b4300
EDUC,EDUCATIONAL DEVELOPMENT CORP,31667,281479105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Publishing,5190,Wholesale Trade,Wholesale-Miscellaneous Nondurable Goods,,Wholesale,USD,Oklahoma; U.S.A,8b27fb742f461555c919f9cbcc886496
FIP,FTAI INFRASTRUCTURE INC,1899883,35953C106,NASDAQ,False,Domestic Common Stock,Industrials,Conglomerates,5171,Wholesale Trade,Wholesale-Petroleum Bulk Stations & Terminals,,Wholesale,USD,New York; U.S.A,ddc0abe46ce2e400f52eaf3f30c7dc9e
FSTR,FOSTER L B CO,352825,350060109,NASDAQ,False,Domestic Common Stock,Industrials,Railroads,5051,Wholesale Trade,Wholesale-Metals Service Centers & Offices,,Wholesale,USD,Pennsylvania; U.S.A,32a2a3cf711c8cd056ce698c72cefbc6
GDC,GD CULTURE GROUP LTD,1641398,19200A105 19200A204 46590H101 46590H200 87266C109,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Electronic Gaming & Multimedia,5050,Wholesale Trade,Wholesale-Metals & Minerals (No Petroleum),,Wholesale,USD,China,c0427a5a8574a2c22ba6e29428f06b03
GNLN,GREENLANE HOLDINGS INC,1743745,395330103 395330202 395330301,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Tobacco,5099,Wholesale Trade,Wholesale-Durable Goods Nec,,Wholesale,USD,Florida; U.S.A,cde1e4bacc6237d302aadc2708605c4b
GWAV,GREENWAVE TECHNOLOGY SOLUTIONS INC,1589149,57630J304 57630J106,NASDAQ,False,Domestic Common Stock,Industrials,Waste Management,5051,Wholesale Trade,Wholesale-Metals Service Centers & Offices,,Wholesale,USD,Virginia; U.S.A,824c12785c3ae760264250d11aa8107b
HDSN,HUDSON TECHNOLOGIES INC,925528,444144109,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,5080,Wholesale Trade,Wholesale-Machinery Equipment & Supplies,,Wholesale,USD,New York; U.S.A,f180087edd95fbb9a2cccd7aef98b75c
HFFG,HF FOODS GROUP INC,1680873,40417F109 048206106 048206205,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Food Distribution,5140,Wholesale Trade,Wholesale-Groceries & Related Products,,Wholesale,USD,California; U.S.A,871633806ab500a013193bf8741e5785
HSIC,HENRY SCHEIN INC,1000228,806407102,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Distribution,5047,Wholesale Trade,Wholesale-Medical Dental & Hospital Equipment & Supplies,,Wholesale,USD,New York; U.S.A,fc5ea9179f4fc184718735de0cf6263c
HWH,HWH INTERNATIONAL INC,1897245,02115M109 44852G101,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Leisure,5122,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,,Wholesale,USD,Maryland; U.S.A,cd9279f6baee6f0a79456e8c51ec8694
HWKN,HAWKINS INC,46250,420261109 420200107,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,5160,Wholesale Trade,Wholesale-Chemicals & Allied Products,,Wholesale,USD,Minnesota; U.S.A,a4423c556fd1cc725c6e0739d403eb9d
HYFM,HYDROFARM HOLDINGS GROUP INC,1695295,44888K209,NASDAQ,False,Domestic Common Stock,Industrials,Farm & Heavy Construction Machinery,5190,Wholesale Trade,Wholesale-Miscellaneous Nondurable Goods,,Wholesale,USD,California; U.S.A,cb13cabdc260c823c1b3eae0299d9a84
ITRN,ITURAN LOCATION & CONTROL LTD,1337117,M6158M104,NASDAQ,False,ADR Common Stock,Technology,Communication Equipment,5065,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,,Wholesale,USD,Israel,965695a295179299d0ff74a55107f596
JVA,COFFEE HOLDING CO INC,1007019,192176105,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,5140,Wholesale Trade,Wholesale-Groceries & Related Products,,Wholesale,USD,New York; U.S.A,915d411cffb1aa2d557d8d5d660d8666
